ConditionName,TrialNumber,FittsID,CompletionTime,Errors
Gravity-Zero,46,0.5499313,761,0
Gravity-Zero,47,0.22221975,785,0
Gravity-Zero,48,0.09648242,994,0
Gravity-Zero,49,0.42843276,879,0
Gravity-Zero,50,0.43772706,744,0
Gravity-Zero,51,0.40455613,782,0
Gravity-Zero,52,0.15043575,737,0
Gravity-Zero,53,0.14553449,734,0
Gravity-Zero,54,0.38209692,736,0
Gravity-Zero,55,0.30931383,699,0

Sticky-High,1,0.26296008,1115,0
Sticky-High,2,0.57549125,821,0
Sticky-High,3,0.41820574,1014,0
Sticky-High,4,0.56014097,947,0
Sticky-High,5,0.48654535,703,0
Sticky-High,6,0.5269304,1111,0
Sticky-High,7,0.3205852,1224,0
Sticky-High,8,0.24134517,815,0
Sticky-High,9,0.34690756,500,0
Sticky-High,10,0.6962499,810,1
Sticky-High,11,0.55450416,434,0
Sticky-High,12,0.4312701,840,0
Sticky-High,13,0.41638368,1552,0
